run,gnb_cmdline_time,cbra_success_time,delta_sec,status
1,2026-05-28 23:38:22.382,2026-05-28 23:38:31.267,8.884,ok
2,2026-05-28 23:38:44.180,2026-05-28 23:38:52.464,8.284,ok
3,2026-05-28 23:39:05.399,2026-05-28 23:39:14.214,8.815,ok
4,2026-05-28 23:39:27.471,2026-05-28 23:39:36.365,8.894,ok
5,2026-05-28 23:39:49.522,2026-05-28 23:39:58.414,8.892,ok
6,2026-05-28 23:40:11.489,2026-05-28 23:40:20.346,8.857,ok
7,2026-05-28 23:40:33.345,2026-05-28 23:40:40.854,7.509,ok
8,2026-05-28 23:40:54.577,2026-05-28 23:41:03.451,8.875,ok
9,2026-05-28 23:41:16.519,2026-05-28 23:41:25.471,8.952,ok
10,2026-05-28 23:41:38.583,2026-05-28 23:41:47.446,8.862,ok
1,2026-05-28 23:44:27.239,2026-05-28 23:44:38.863,11.624,ok
2,2026-05-28 23:44:53.667,2026-05-28 23:45:03.803,10.136,ok
3,2026-05-28 23:45:17.157,2026-05-28 23:45:25.024,7.867,ok
4,2026-05-28 23:45:40.777,2026-05-28 23:45:49.528,8.751,ok
5,2026-05-28 23:46:02.602,2026-05-28 23:46:11.447,8.845,ok
6,2026-05-28 23:46:24.610,2026-05-28 23:46:33.500,8.89,ok
7,2026-05-28 23:46:46.669,2026-05-28 23:46:55.509,8.841,ok
8,2026-05-28 23:47:08.724,2026-05-28 23:47:17.481,8.757,ok
9,2026-05-28 23:47:30.694,2026-05-28 23:47:39.550,8.856,ok
10,2026-05-28 23:47:52.733,2026-05-28 23:48:01.488,8.755,ok
11,2026-05-28 23:48:14.529,2026-05-28 23:48:23.537,9.007,ok
12,2026-05-28 23:48:36.785,2026-05-28 23:48:45.535,8.75,ok
13,2026-05-28 23:48:59.619,2026-05-28 23:49:08.607,8.987,ok
14,2026-05-28 23:49:21.790,2026-05-28 23:49:30.478,8.688,ok
15,2026-05-28 23:49:43.763,2026-05-28 23:49:52.450,8.687,ok
16,2026-05-28 23:50:05.787,2026-05-28 23:50:14.647,8.859,ok
17,2026-05-28 23:50:27.745,2026-05-28 23:50:36.559,8.814,ok
18,2026-05-28 23:50:49.830,2026-05-28 23:50:58.547,8.717,ok
19,2026-05-28 23:51:11.848,2026-05-28 23:51:20.600,8.752,ok
20,2026-05-28 23:51:33.849,2026-05-28 23:51:42.664,8.814,ok
21,2026-05-28 23:51:55.886,2026-05-28 23:52:04.765,8.879,ok
